gid0,species_pct,species_included,cumarea,totparea,cmbparea,totarea,parea_pct,bname,cname,tcmbparea,cname0,unregion2,wbincomegroup
AUS,90,2698,399781.683951743,1577487.89213164,1977269.57608338,7663105.94525693,25.8024564740255,Australia_AUS,Australia,1977269.57608338,Australia,Oceania,High income
AUS,95,2848,438539.682197166,1577487.89213164,2016027.57432881,7663105.94525693,26.3082304842285,Australia_AUS,Australia,2016027.57432881,Australia,Oceania,High income
AUS,100,2997,473795.5173785,1577487.89213164,2051283.40951014,7663105.94525693,26.7683028808936,Australia_AUS,Australia,2051283.40951014,Australia,Oceania,High income
AUT,0,0,0,24810.1600800761,24810.1600800761,83949.3091852799,29.5537394182946,Austria_AUT,Austria,24810.1600800761,Austria,Europe,High income
AUT,5,3,42.5878475835915,24810.1600800761,24852.7479276597,83949.3091852799,29.6044698507388,Austria_AUT,Austria,24852.7479276597,Austria,Europe,High income
AUT,10,5,85.3664276282149,24810.1600800761,24895.5265077043,83949.3091852799,29.6554274827429,Austria_AUT,Austria,24895.5265077043,Austria,Europe,High income
AUT,15,7,126.250338849695,24810.1600800761,24936.4104189258,83949.3091852799,29.7041281946585,Austria_AUT,Austria,24936.4104189258,Austria,Europe,High income
AUT,20,9,163.535072208335,24810.1600800761,24973.6951522844,83949.3091852799,29.7485415837864,Austria_AUT,Austria,24973.6951522844,Austria,Europe,High income
AUT,25,11,210.490853395109,24810.1600800761,25020.6509334712,83949.3091852799,29.8044750770367,Austria_AUT,Austria,25020.6509334712,Austria,Europe,High income
AUT,30,13,254.841072954978,24810.1600800761,25065.0011530311,83949.3091852799,29.8573048382227,Austria_AUT,Austria,25065.0011530311,Austria,Europe,High income
AUT,35,15,318.727174831396,24810.1600800761,25128.8872549075,83949.3091852799,29.9334056453602,Austria_AUT,Austria,25128.8872549075,Austria,Europe,High income
AUT,40,17,343.330580164651,24810.1600800761,25153.4906602408,83949.3091852799,29.9627130995514,Austria_AUT,Austria,25153.4906602408,Austria,Europe,High income
AUT,45,19,362.880411250417,24810.1600800761,25173.0404913265,83949.3091852799,29.9860007612075,Austria_AUT,Austria,25173.0404913265,Austria,Europe,High income
AUT,50,21,468.524137044789,24810.1600800761,25278.6842171209,83949.3091852799,30.1118430424838,Austria_AUT,Austria,25278.6842171209,Austria,Europe,High income
AUT,55,24,477.771121493048,24810.1600800761,25287.9312015692,83949.3091852799,30.122858004415,Austria_AUT,Austria,25287.9312015692,Austria,Europe,High income
AUT,60,26,490.369948815112,24810.1600800761,25300.5300288912,83949.3091852799,30.1378656649238,Austria_AUT,Austria,25300.5300288912,Austria,Europe,High income
